Protein	Neighborhood.Class	Compartment.Class
ABR	Cytosol	C1
ABTB1	Cytosol	C1
ACTR1A	Cytosol	C1
ACTR2	Cytosol	C1
ACTR3	Cytosol	C1
AGT	Cytosol	C1
AGTPBP1	Cytosol	C1
ALDH9A1	Cytosol	C1
ALOX15	Cytosol	C1
ALS2	Cytosol	C1
AMN1	Cytosol	C1
ANAPC13	Cytosol	C1
ANKMY2	Cytosol	C1
ANKRD28	Cytosol	C1
ANKRD44	Cytosol	C1
ANXA7	Cytosol	C1
AP1G1	Cytosol	C1
AP1G2	Cytosol	C1
AP1M1	Cytosol	C1
AP1M2	Cytosol	C1
AP1S1	Cytosol	C1
AP3B1	Cytosol	C1
AP3D1	Cytosol	C1
AP3M1	Cytosol	C1
AP3S1	Cytosol	C1
AP4E1	Cytosol	C1
APOA1BP	Cytosol	C1
APPL1	Cytosol	C1
ARAP3	Cytosol	C1
ARHGEF37	Cytosol	C1
ARHGEF5	Cytosol	C1
ARL6	Cytosol	C1
ARPC1B	Cytosol	C1
ARPC2	Cytosol	C1
ARPC5L	Cytosol	C1
ASAP1	Cytosol	C1
ASAP2	Cytosol	C1
ASAP3	Cytosol	C1
ATP6V1A	Cytosol	C1
ATP6V1C1	Cytosol	C1
ATP6V1E1	Cytosol	C1
AVEN	Cytosol	C1
AVL9	Cytosol	C1
BAX	Cytosol	C1
BCAR3	Cytosol	C1
BCR	Cytosol	C1
BIN3	Cytosol	C1
BIRC6	Cytosol	C1
BTBD10	Cytosol	C1
BTBD11	Cytosol	C1
C3orf14	Cytosol	C1
CAMK1	Cytosol	C1
CAMK2D	Cytosol	C1
CAMKMT	Cytosol	C1
CASKIN2	Cytosol	C1
CCT2	Cytosol	C1
CCT3	Cytosol	C1
CCT4	Cytosol	C1
CCT5	Cytosol	C1
CCT6A	Cytosol	C1
CCT8	Cytosol	C1
CDC42EP5	Cytosol	C1
CEP44	Cytosol	C1
CLASP2	Cytosol	C1
CNKSR1	Cytosol	C1
COL1A1	Cytosol	C1
CTIF	Cytosol	C1
CUL7	Cytosol	C1
CUL9	Cytosol	C1
DDHD1	Cytosol	C1
DDHD2	Cytosol	C1
DERA	Cytosol	C1
DGKZ	Cytosol	C1
DLGAP4	Cytosol	C1
DMXL1	Cytosol	C1
DMXL2	Cytosol	C1
DNAJC21	Cytosol	C1
DNMBP	Cytosol	C1
DOCK1	Cytosol	C1
DOPEY1	Cytosol	C1
DOPEY2	Cytosol	C1
DSTYK	Cytosol	C1
DTYMK	Cytosol	C1
DYNC1H1	Cytosol	C1
DYNC1LI1	Cytosol	C1
DYNLT1	Cytosol	C1
DYNLT3	Cytosol	C1
EFHD2	Cytosol	C1
EID2	Cytosol	C1
EIF2B1	Cytosol	C1
EIF2B2	Cytosol	C1
ELAC1	Cytosol	C1
ELMO2	Cytosol	C1
ELMO3	Cytosol	C1
ENDOV	Cytosol	C1
ENTHD2	Cytosol	C1
EPG5	Cytosol	C1
FAM129A	Cytosol	C1
FAM214A	Cytosol	C1
FAM65A	Cytosol	C1
FAM86A	Cytosol	C1
FAM89B	Cytosol	C1
FBXL15	Cytosol	C1
FBXO42	Cytosol	C1
FBXW8	Cytosol	C1
FERMT1	Cytosol	C1
FOCAD	Cytosol	C1
FRYL	Cytosol	C1
FTSJ1	Cytosol	C1
GPATCH2	Cytosol	C1
GPRASP2	Cytosol	C1
GRB14	Cytosol	C1
GSTZ1	Cytosol	C1
GYG2	Cytosol	C1
HAUS3	Cytosol	C1
HAUS4	Cytosol	C1
HAUS6	Cytosol	C1
HEATR5A	Cytosol	C1
HECTD3	Cytosol	C1
HERC1	Cytosol	C1
HERC4	Cytosol	C1
HMGCLL1	Cytosol	C1
HPS3	Cytosol	C1
HPS5	Cytosol	C1
HPS6	Cytosol	C1
ICA1	Cytosol	C1
IDNK	Cytosol	C1
IFT80	Cytosol	C1
IFT81	Cytosol	C1
IFT88	Cytosol	C1
IKBKE	Cytosol	C1
INPP5F	Cytosol	C1
IPO9	Cytosol	C1
KATNA1	Cytosol	C1
KATNB1	Cytosol	C1
KCMF1	Cytosol	C1
KHNYN	Cytosol	C1
KIAA0930	Cytosol	C1
KIAA1244	Cytosol	C1
KIF13A	Cytosol	C1
KIF13B	Cytosol	C1
KIF1B	Cytosol	C1
KLHL26	Cytosol	C1
KLHL9	Cytosol	C1
KSR1	Cytosol	C1
LAP3	Cytosol	C1
LINGO1	Cytosol	C1
LPIN1	Cytosol	C1
LPIN2	Cytosol	C1
LRRC40	Cytosol	C1
LSM1	Cytosol	C1
LTF	Cytosol	C1
LYPLA1	Cytosol	C1
LYPLAL1	Cytosol	C1
MADD	Cytosol	C1
MAGED2	Cytosol	C1
MAP2K4	Cytosol	C1
MAP2K5	Cytosol	C1
MAP2K6	Cytosol	C1
MAP3K5	Cytosol	C1
MAP4K2	Cytosol	C1
MAST2	Cytosol	C1
MCC	Cytosol	C1
METTL21A	Cytosol	C1
MEX3D	Cytosol	C1
MTM1	Cytosol	C1
MTMR14	Cytosol	C1
MTMR3	Cytosol	C1
MTMR6	Cytosol	C1
MTMR7	Cytosol	C1
MTMR9	Cytosol	C1
MTSS1L	Cytosol	C1
MYCN	Cytosol	C1
MYD88	Cytosol	C1
MZT2B	Cytosol	C1
NAPB	Cytosol	C1
NBEA	Cytosol	C1
NCKIPSD	Cytosol	C1
NEDD9	Cytosol	C1
NEK1	Cytosol	C1
NEK3	Cytosol	C1
NEK4	Cytosol	C1
NKIRAS1	Cytosol	C1
NRBP2	Cytosol	C1
NSUN6	Cytosol	C1
OSBP	Cytosol	C1
PACS2	Cytosol	C1
PAIP2	Cytosol	C1
PAIP2B	Cytosol	C1
PARVB	Cytosol	C1
PDCD10	Cytosol	C1
PDE7A	Cytosol	C1
PHKA2	Cytosol	C1
PHKB	Cytosol	C1
PHKG2	Cytosol	C1
PICK1	Cytosol	C1
PKN2	Cytosol	C1
PLEKHG2	Cytosol	C1
PLIN3	Cytosol	C1
POLR2M	Cytosol	C1
PPM1H	Cytosol	C1
PPP2R2D	Cytosol	C1
PPP2R5A	Cytosol	C1
PPP2R5E	Cytosol	C1
PRKAA1	Cytosol	C1
PRKAG1	Cytosol	C1
PRKCI	Cytosol	C1
PRKD1	Cytosol	C1
PRKD2	Cytosol	C1
PRKX	Cytosol	C1
PSMA3	Cytosol	C1
PSMA4	Cytosol	C1
PSMA6	Cytosol	C1
PSMB2	Cytosol	C1
PSMB3	Cytosol	C1
PSMB4	Cytosol	C1
PSMB5	Cytosol	C1
PSMB7	Cytosol	C1
PSMC2	Cytosol	C1
PSMC3	Cytosol	C1
PSMC4	Cytosol	C1
PSMC5	Cytosol	C1
PSMD1	Cytosol	C1
PSMD11	Cytosol	C1
PSMD12	Cytosol	C1
PSMD13	Cytosol	C1
PSMD14	Cytosol	C1
PSMD2	Cytosol	C1
PSMD3	Cytosol	C1
PSMD7	Cytosol	C1
PSMD8	Cytosol	C1
PSME4	Cytosol	C1
PTGR2	Cytosol	C1
PTK2	Cytosol	C1
PTK2B	Cytosol	C1
PTPN23	Cytosol	C1
R3HCC1	Cytosol	C1
RAB28	Cytosol	C1
RAB3IL1	Cytosol	C1
RABGAP1	Cytosol	C1
RAF1	Cytosol	C1
RALGPS2	Cytosol	C1
RFESD	Cytosol	C1
RICTOR	Cytosol	C1
RIOK2	Cytosol	C1
RNF141	Cytosol	C1
RNF214	Cytosol	C1
ROGDI	Cytosol	C1
RTKN	Cytosol	C1
RWDD2A	Cytosol	C1
SASS6	Cytosol	C1
SCYL1	Cytosol	C1
SEC23IP	Cytosol	C1
SESN1	Cytosol	C1
SHQ1	Cytosol	C1
SKIV2L	Cytosol	C1
SNAP29	Cytosol	C1
SNF8	Cytosol	C1
SNUPN	Cytosol	C1
SNX1	Cytosol	C1
SNX2	Cytosol	C1
SNX5	Cytosol	C1
SNX6	Cytosol	C1
SOX3	Cytosol	C1
SPATA5	Cytosol	C1
SPATA5L1	Cytosol	C1
SPC25	Cytosol	C1
SPG20	Cytosol	C1
STARD13	Cytosol	C1
STAT3	Cytosol	C1
STK3	Cytosol	C1
SYAP1	Cytosol	C1
SYK	Cytosol	C1
TANGO6	Cytosol	C1
TARBP1	Cytosol	C1
TBC1D17	Cytosol	C1
TBC1D7	Cytosol	C1
TBC1D9B	Cytosol	C1
TCP1	Cytosol	C1
TELO2	Cytosol	C1
TF	Cytosol	C1
TICAM1	Cytosol	C1
TOLLIP	Cytosol	C1
TPD52	Cytosol	C1
TRAPPC2L	Cytosol	C1
TRAPPC3	Cytosol	C1
TRAPPC4	Cytosol	C1
TRIM26	Cytosol	C1
TRIO	Cytosol	C1
TRMT12	Cytosol	C1
TRPC4AP	Cytosol	C1
TSC2	Cytosol	C1
TSG101	Cytosol	C1
TTC12	Cytosol	C1
TTC26	Cytosol	C1
TTC37	Cytosol	C1
TTF2	Cytosol	C1
TTI1	Cytosol	C1
TTI2	Cytosol	C1
TUBG1	Cytosol	C1
TUBGCP2	Cytosol	C1
TUBGCP4	Cytosol	C1
TUBGCP5	Cytosol	C1
TUBGCP6	Cytosol	C1
TXNL4B	Cytosol	C1
TYMP	Cytosol	C1
UBE2D2	Cytosol	C1
UBE2Q1	Cytosol	C1
UBE2W	Cytosol	C1
UBR4	Cytosol	C1
UHRF1BP1	Cytosol	C1
ULK3	Cytosol	C1
URGCP	Cytosol	C1
USP21	Cytosol	C1
USP32	Cytosol	C1
USP40	Cytosol	C1
USP45	Cytosol	C1
WDFY3	Cytosol	C1
WDR34	Cytosol	C1
WDR37	Cytosol	C1
WDR41	Cytosol	C1
WDR6	Cytosol	C1
WDR62	Cytosol	C1
WIPI2	Cytosol	C1
VPS33A	Cytosol	C1
WWC2	Cytosol	C1
ZFYVE1	Cytosol	C1
ZNF395	Cytosol	C1
ZNHIT2	Cytosol	C1
ZSWIM8	Cytosol	C1
ZYG11B	Cytosol	C1
ZZEF1	Cytosol	C1
SEPT10	Cytosol	C2
ABCF1	Cytosol	C2
ABL1	Cytosol	C2
AHR	Cytosol	C2
AKAP13	Cytosol	C2
AKAP9	Cytosol	C2
ANKHD1	Cytosol	C2
ANKRD50	Cytosol	C2
ARCN1	Cytosol	C2
ASB8	Cytosol	C2
ATXN2	Cytosol	C2
BAG1	Cytosol	C2
BICD1	Cytosol	C2
CCNB1	Cytosol	C2
CCNJ	Cytosol	C2
CDC20	Cytosol	C2
CEP170B	Cytosol	C2
CLTA	Cytosol	C2
CLTB	Cytosol	C2
CLTC	Cytosol	C2
COPG1	Cytosol	C2
DEF8	Cytosol	C2
DNA2	Cytosol	C2
EDRF1	Cytosol	C2
EIF2A	Cytosol	C2
EIF3I	Cytosol	C2
EIF4A2	Cytosol	C2
FAM102A	Cytosol	C2
FCHSD2	Cytosol	C2
FGFR1OP	Cytosol	C2
FHIT	Cytosol	C2
GGA1	Cytosol	C2
GGA2	Cytosol	C2
GGA3	Cytosol	C2
GIGYF1	Cytosol	C2
GIT2	Cytosol	C2
GREB1	Cytosol	C2
HMMR	Cytosol	C2
IFT140	Cytosol	C2
IPPK	Cytosol	C2
ITPKB	Cytosol	C2
JMY	Cytosol	C2
KBTBD8	Cytosol	C2
KCTD3	Cytosol	C2
KPNA3	Cytosol	C2
LNX2	Cytosol	C2
MIB2	Cytosol	C2
MYH10	Cytosol	C2
MYL6	Cytosol	C2
OBFC1	Cytosol	C2
PARD6B	Cytosol	C2
PDE4DIP	Cytosol	C2
PLEKHG4	Cytosol	C2
POTEF	Cytosol	C2
PSMB6	Cytosol	C2
RSPH1	Cytosol	C2
SAMD15	Cytosol	C2
SDCCAG8	Cytosol	C2
SEC16A	Cytosol	C2
SEC24D	Cytosol	C2
SNX27	Cytosol	C2
SNX3	Cytosol	C2
SRP68	Cytosol	C2
SRP72	Cytosol	C2
STRN	Cytosol	C2
STRN4	Cytosol	C2
TAX1BP1	Cytosol	C2
TBC1D5	Cytosol	C2
TEC	Cytosol	C2
TRIM2	Cytosol	C2
URI1	Cytosol	C2
VPS11	Cytosol	C2
VPS16	Cytosol	C2
VPS18	Cytosol	C2
YTHDF3	Cytosol	C2
ZRANB1	Cytosol	C2
ACAP2	Cytosol	C3
AHSA1	Cytosol	C3
ARFGAP2	Cytosol	C3
ARFGAP3	Cytosol	C3
ARFGEF1	Cytosol	C3
ARHGAP35	Cytosol	C3
ARHGEF10L	Cytosol	C3
ARMC6	Cytosol	C3
ARMC9	Cytosol	C3
ATG2B	Cytosol	C3
ATG5	Cytosol	C3
BCAS3	Cytosol	C3
BZW2	Cytosol	C3
C7orf25	Cytosol	C3
CARD14	Cytosol	C3
CDAN1	Cytosol	C3
CDC123	Cytosol	C3
CEP41	Cytosol	C3
CHKA	Cytosol	C3
CHM	Cytosol	C3
CHUK	Cytosol	C3
CTU2	Cytosol	C3
DCLK1	Cytosol	C3
DDX58	Cytosol	C3
DIAPH1	Cytosol	C3
DIAPH2	Cytosol	C3
DNM1	Cytosol	C3
DNM2	Cytosol	C3
DPH6	Cytosol	C3
ELP4	Cytosol	C3
ETF1	Cytosol	C3
FAM105B	Cytosol	C3
FAM129B	Cytosol	C3
FBXL16	Cytosol	C3
FBXO9	Cytosol	C3
FUK	Cytosol	C3
GAPVD1	Cytosol	C3
GAREM	Cytosol	C3
GCN1L1	Cytosol	C3
GLMN	Cytosol	C3
GPN1	Cytosol	C3
HEATR6	Cytosol	C3
IKBKAP	Cytosol	C3
INPPL1	Cytosol	C3
IPO4	Cytosol	C3
IRAK1	Cytosol	C3
IRAK4	Cytosol	C3
KIAA1279	Cytosol	C3
KIF11	Cytosol	C3
KIF5C	Cytosol	C3
KIFAP3	Cytosol	C3
KLC2	Cytosol	C3
LPIN3	Cytosol	C3
LRRC58	Cytosol	C3
LRSAM1	Cytosol	C3
LYPLA2	Cytosol	C3
MALT1	Cytosol	C3
MAP3K4	Cytosol	C3
MAP3K7	Cytosol	C3
MICAL1	Cytosol	C3
MSTO1	Cytosol	C3
N6AMT2	Cytosol	C3
NFATC2	Cytosol	C3
NFKB1	Cytosol	C3
NFKB2	Cytosol	C3
OSBPL2	Cytosol	C3
OXR1	Cytosol	C3
OXSR1	Cytosol	C3
PCTP	Cytosol	C3
PDPK1	Cytosol	C3
PHGDH	Cytosol	C3
PI4KB	Cytosol	C3
PIK3R1	Cytosol	C3
PITPNB	Cytosol	C3
PMVK	Cytosol	C3
PPP2R5D	Cytosol	C3
PPP3CB	Cytosol	C3
PPP4R1	Cytosol	C3
PREX1	Cytosol	C3
PRUNE	Cytosol	C3
RABGAP1L	Cytosol	C3
RAP1GAP	Cytosol	C3
RAPH1	Cytosol	C3
RASA1	Cytosol	C3
RBCK1	Cytosol	C3
REL	Cytosol	C3
RELB	Cytosol	C3
RHEB	Cytosol	C3
RIPK2	Cytosol	C3
RNASEL	Cytosol	C3
RPS6KA1	Cytosol	C3
RWDD2B	Cytosol	C3
SASH1	Cytosol	C3
SH3BP1	Cytosol	C3
SH3GLB2	Cytosol	C3
SKA1	Cytosol	C3
SKA2	Cytosol	C3
SOS1	Cytosol	C3
SRR	Cytosol	C3
STAT1	Cytosol	C3
STK39	Cytosol	C3
SULT2B1	Cytosol	C3
TBC1D16	Cytosol	C3
TBC1D2	Cytosol	C3
TBC1D2B	Cytosol	C3
TLN1	Cytosol	C3
TMEM102	Cytosol	C3
TNIP1	Cytosol	C3
TRIM47	Cytosol	C3
TRIP6	Cytosol	C3
TTC27	Cytosol	C3
TUBA1C	Cytosol	C3
UBE3B	Cytosol	C3
USP24	Cytosol	C3
VIPAS39	Cytosol	C3
VTA1	Cytosol	C3
ZC3H12A	Cytosol	C3
AACS	Cytosol	C4
AAMDC	Cytosol	C4
AARS	Cytosol	C4
ABRACL	Cytosol	C4
ACBD7	Cytosol	C4
ACOT11	Cytosol	C4
AFP	Cytosol	C4
ALDH1A3	Cytosol	C4
ALDOC	Cytosol	C4
ANXA5	Cytosol	C4
ANXA6	Cytosol	C4
ARHGDIA	Cytosol	C4
ATG4A	Cytosol	C4
ATG7	Cytosol	C4
ATIC	Cytosol	C4
C14orf119	Cytosol	C4
C16orf70	Cytosol	C4
C1orf123	Cytosol	C4
CAP1	Cytosol	C4
CAP2	Cytosol	C4
CAPN1	Cytosol	C4
CAPN2	Cytosol	C4
CAPN7	Cytosol	C4
CBL	Cytosol	C4
CBS	Cytosol	C4
CCDC43	Cytosol	C4
CDC37L1	Cytosol	C4
CMPK1	Cytosol	C4
COTL1	Cytosol	C4
CPPED1	Cytosol	C4
CRLF3	Cytosol	C4
CRTC1	Cytosol	C4
CSK	Cytosol	C4
CSTB	Cytosol	C4
DBI	Cytosol	C4
DBNL	Cytosol	C4
DPYD	Cytosol	C4
DRG2	Cytosol	C4
EEF1A1	Cytosol	C4
EEF1A2	Cytosol	C4
EEF2	Cytosol	C4
EEF2K	Cytosol	C4
ENO3	Cytosol	C4
FAH	Cytosol	C4
FBP1	Cytosol	C4
FBXW2	Cytosol	C4
FCHSD1	Cytosol	C4
FKBP1A	Cytosol	C4
G6PD	Cytosol	C4
GART	Cytosol	C4
GCLC	Cytosol	C4
GDI1	Cytosol	C4
GDI2	Cytosol	C4
GFPT1	Cytosol	C4
GGACT	Cytosol	C4
GGCT	Cytosol	C4
GLCCI1	Cytosol	C4
GOT1	Cytosol	C4
GSTM3	Cytosol	C4
HARS	Cytosol	C4
HS1BP3	Cytosol	C4
HSPB1	Cytosol	C4
IFIH1	Cytosol	C4
IKBKG	Cytosol	C4
IRF3	Cytosol	C4
LZTFL1	Cytosol	C4
MAP2K1	Cytosol	C4
ME1	Cytosol	C4
METTL2B	Cytosol	C4
MTPN	Cytosol	C4
NADSYN1	Cytosol	C4
NME1-NME2	Cytosol	C4
NRBP1	Cytosol	C4
NRD1	Cytosol	C4
NSMAF	Cytosol	C4
NT5C2	Cytosol	C4
NUDT1	Cytosol	C4
NUDT15	Cytosol	C4
NUTF2	Cytosol	C4
OLA1	Cytosol	C4
PAICS	Cytosol	C4
PDCL	Cytosol	C4
PDE5A	Cytosol	C4
PGD	Cytosol	C4
PKM	Cytosol	C4
PLCG2	Cytosol	C4
PPAT	Cytosol	C4
PRDX6	Cytosol	C4
PXN	Cytosol	C4
PYCARD	Cytosol	C4
RABGGTA	Cytosol	C4
RABGGTB	Cytosol	C4
RANBP1	Cytosol	C4
RAP1GDS1	Cytosol	C4
RRM1	Cytosol	C4
S100P	Cytosol	C4
SCRN1	Cytosol	C4
SERPINB8	Cytosol	C4
SMAP1	Cytosol	C4
SMAP2	Cytosol	C4
SMYD5	Cytosol	C4
ST13	Cytosol	C4
STARD5	Cytosol	C4
STMN2	Cytosol	C4
TAGLN2	Cytosol	C4
TARS	Cytosol	C4
TBCD	Cytosol	C4
TES	Cytosol	C4
TGM2	Cytosol	C4
THNSL2	Cytosol	C4
THUMPD3	Cytosol	C4
TPT1	Cytosol	C4
TSC22D2	Cytosol	C4
TUBA4A	Cytosol	C4
TUBB4B	Cytosol	C4
UBE2O	Cytosol	C4
UGP2	Cytosol	C4
USP47	Cytosol	C4
WARS	Cytosol	C4
VPS37B	Cytosol	C4
ACAT2	Cytosol	C5
ACSS2	Cytosol	C5
ADAP1	Cytosol	C5
ADSSL1	Cytosol	C5
AKR1C2	Cytosol	C5
ANXA1	Cytosol	C5
ARPP19	Cytosol	C5
ASPSCR1	Cytosol	C5
ATE1	Cytosol	C5
BDH2	Cytosol	C5
BLVRB	Cytosol	C5
BTF3	Cytosol	C5
BTF3L4	Cytosol	C5
C10orf118	Cytosol	C5
C12orf10	Cytosol	C5
C14orf142	Cytosol	C5
C1orf122	Cytosol	C5
C3orf83	Cytosol	C5
CASP7	Cytosol	C5
CAST	Cytosol	C5
CCDC25	Cytosol	C5
CCDC6	Cytosol	C5
CDC37	Cytosol	C5
CHMP1A	Cytosol	C5
CHMP1B	Cytosol	C5
CHMP3	Cytosol	C5
CIAPIN1	Cytosol	C5
CLNS1A	Cytosol	C5
CNOT4	Cytosol	C5
CORO1A	Cytosol	C5
CORO1B	Cytosol	C5
CRTC2	Cytosol	C5
CSRP2	Cytosol	C5
CUEDC2	Cytosol	C5
CUTA	Cytosol	C5
DAK	Cytosol	C5
DAP	Cytosol	C5
DCAF16	Cytosol	C5
DDAH1	Cytosol	C5
DFFA	Cytosol	C5
DNAJB1	Cytosol	C5
DNAJC2	Cytosol	C5
DNAL1	Cytosol	C5
DOHH	Cytosol	C5
DPH7	Cytosol	C5
DTD1	Cytosol	C5
EEF1B2	Cytosol	C5
EGLN1	Cytosol	C5
EIF4B	Cytosol	C5
EIF4H	Cytosol	C5
EIF5	Cytosol	C5
EIF5A	Cytosol	C5
ENY2	Cytosol	C5
FAM175B	Cytosol	C5
FBLIM1	Cytosol	C5
FDPS	Cytosol	C5
FKBP3	Cytosol	C5
FKBP4	Cytosol	C5
FLNA	Cytosol	C5
FLNB	Cytosol	C5
FN3K	Cytosol	C5
GALK1	Cytosol	C5
GBE1	Cytosol	C5
GBP2	Cytosol	C5
GIPC3	Cytosol	C5
GLO1	Cytosol	C5
GLOD4	Cytosol	C5
GLRX3	Cytosol	C5
GPCPD1	Cytosol	C5
GRB2	Cytosol	C5
GRIPAP1	Cytosol	C5
HDHD1	Cytosol	C5
HINT1	Cytosol	C5
HNMT	Cytosol	C5
HSP90AA1	Cytosol	C5
HSPA14	Cytosol	C5
HSPA4	Cytosol	C5
HSPA4L	Cytosol	C5
HSPH1	Cytosol	C5
IAH1	Cytosol	C5
LRRC47	Cytosol	C5
MAP1B	Cytosol	C5
MAP4	Cytosol	C5
MAPK12	Cytosol	C5
MAT2A	Cytosol	C5
MAT2B	Cytosol	C5
MB	Cytosol	C5
MEMO1	Cytosol	C5
MGMT	Cytosol	C5
MRI1	Cytosol	C5
MVD	Cytosol	C5
MYEOV2	Cytosol	C5
NAA10	Cytosol	C5
NACA	Cytosol	C5
NAE1	Cytosol	C5
NAMPT	Cytosol	C5
NANS	Cytosol	C5
NAPRT1	Cytosol	C5
NCOA7	Cytosol	C5
NME1	Cytosol	C5
NSFL1C	Cytosol	C5
NTAN1	Cytosol	C5
OGFR	Cytosol	C5
PAFAH1B2	Cytosol	C5
PAPSS2	Cytosol	C5
PARK7	Cytosol	C5
PBDC1	Cytosol	C5
PDAP1	Cytosol	C5
PDLIM1	Cytosol	C5
PDXK	Cytosol	C5
PFAS	Cytosol	C5
PFDN1	Cytosol	C5
PFDN2	Cytosol	C5
PGM2	Cytosol	C5
PIN1	Cytosol	C5
PNPO	Cytosol	C5
PPM1A	Cytosol	C5
PPME1	Cytosol	C5
PPP1R14B	Cytosol	C5
PSMG3	Cytosol	C5
PSMG4	Cytosol	C5
PTGES3	Cytosol	C5
PYROXD1	Cytosol	C5
QDPR	Cytosol	C5
RAD23A	Cytosol	C5
RAD23B	Cytosol	C5
RCHY1	Cytosol	C5
RNF114	Cytosol	C5
S100A13	Cytosol	C5
SAT2	Cytosol	C5
SBDS	Cytosol	C5
SETD7	Cytosol	C5
SGTA	Cytosol	C5
SH3D19	Cytosol	C5
SRA1	Cytosol	C5
SSNA1	Cytosol	C5
STAMBP	Cytosol	C5
TACC2	Cytosol	C5
TAGLN	Cytosol	C5
TBCB	Cytosol	C5
TJAP1	Cytosol	C5
TPM1	Cytosol	C5
TPM3	Cytosol	C5
TPM4	Cytosol	C5
TRIM44	Cytosol	C5
TRIM65	Cytosol	C5
TSNAX	Cytosol	C5
TSTA3	Cytosol	C5
TTC9C	Cytosol	C5
TXLNA	Cytosol	C5
TXLNG	Cytosol	C5
UBA1	Cytosol	C5
UBAP2	Cytosol	C5
UBE2A	Cytosol	C5
UBE2G1	Cytosol	C5
UBE2L3	Cytosol	C5
UBE3A	Cytosol	C5
UBFD1	Cytosol	C5
UBL7	Cytosol	C5
UCHL3	Cytosol	C5
UGDH	Cytosol	C5
UROD	Cytosol	C5
USP5	Cytosol	C5
WASH4P	Cytosol	C5
VBP1	Cytosol	C5
VCPKMT	Cytosol	C5
WDYHV1	Cytosol	C5
VHL	Cytosol	C5
WWTR1	Cytosol	C5
YAP1	Cytosol	C5
ZFAND2B	Cytosol	C5
ZNF428	Cytosol	C5
SEPT2	Cytosol	Unclassified
SEPT3	Cytosol	Unclassified
SEPT5	Cytosol	Unclassified
SEPT6	Cytosol	Unclassified
SEPT7	Cytosol	Unclassified
SEPT8	Cytosol	Unclassified
SEPT9	Cytosol	Unclassified
SEPT11	Cytosol	Unclassified
A1BG	Cytosol	Unclassified
AAGAB	Cytosol	Unclassified
AAK1	Cytosol	Unclassified
AAMP	Cytosol	Unclassified
AAR2	Cytosol	Unclassified
AARSD1	Cytosol	Unclassified
AASDHPPT	Cytosol	Unclassified
ABCA7	Cytosol	Unclassified
ABCB4	Cytosol	Unclassified
ABCE1	Cytosol	Unclassified
ABCF2	Cytosol	Unclassified
ABCF3	Cytosol	Unclassified
ABHD14B	Cytosol	Unclassified
ABHD4	Cytosol	Unclassified
ABI1	Cytosol	Unclassified
ABI2	Cytosol	Unclassified
ABL2	Cytosol	Unclassified
ABLIM2	Cytosol	Unclassified
ABTB2	Cytosol	Unclassified
ACACA	Cytosol	Unclassified
ACAP3	Cytosol	Unclassified
ACBD3	Cytosol	Unclassified
ACBD6	Cytosol	Unclassified
ACCS	Cytosol	Unclassified
ACD	Cytosol	Unclassified
ACLY	Cytosol	Unclassified
ACO1	Cytosol	Unclassified
ACOT4	Cytosol	Unclassified
ACOT7	Cytosol	Unclassified
ACP1	Cytosol	Unclassified
ACTA1	Cytosol	Unclassified
ACTB	Cytosol	Unclassified
ACTBL2	Cytosol	Unclassified
ACTG1	Cytosol	Unclassified
ACTL6A	Cytosol	Unclassified
ACTN2	Cytosol	Unclassified
ACTN3	Cytosol	Unclassified
ACTR10	Cytosol	Unclassified
ACTR1B	Cytosol	Unclassified
ACTR3B	Cytosol	Unclassified
ACY1	Cytosol	Unclassified
ACYP1	Cytosol	Unclassified
ACYP2	Cytosol	Unclassified
ADA	Cytosol	Unclassified
ADAL	Cytosol	Unclassified
ADAT3	Cytosol	Unclassified
ADCY10	Cytosol	Unclassified
ADD1	Cytosol	Unclassified
ADD3	Cytosol	Unclassified
ADH5	Cytosol	Unclassified
ADI1	Cytosol	Unclassified
ADIRF	Cytosol	Unclassified
ADK	Cytosol	Unclassified
ADO	Cytosol	Unclassified
ADPRHL2	Cytosol	Unclassified
ADRBK1	Cytosol	Unclassified
ADRM1	Cytosol	Unclassified
ADSL	Cytosol	Unclassified
ADSS	Cytosol	Unclassified
AFAP1L2	Cytosol	Unclassified
AFF3	Cytosol	Unclassified
AFM	Cytosol	Unclassified
AFTPH	Cytosol	Unclassified
AGAP1	Cytosol	Unclassified
AGAP2	Cytosol	Unclassified
AGAP3	Cytosol	Unclassified
AGFG1	Cytosol	Unclassified
AGFG2	Cytosol	Unclassified
AGL	Cytosol	Unclassified
AHCY	Cytosol	Unclassified
AHCYL1	Cytosol	Unclassified
AHCYL2	Cytosol	Unclassified
AHI1	Cytosol	Unclassified
AHSG	Cytosol	Unclassified
AIDA	Cytosol	Unclassified
AIF1L	Cytosol	Unclassified
AIMP1	Cytosol	Unclassified
AIMP2	Cytosol	Unclassified
AIP	Cytosol	Unclassified
AJUBA	Cytosol	Unclassified
AK1	Cytosol	Unclassified
AKAP10	Cytosol	Unclassified
AKAP12	Cytosol	Unclassified
AKR1A1	Cytosol	Unclassified
AKR1B10	Cytosol	Unclassified
AKR1C3	Cytosol	Unclassified
AKR7A2	Cytosol	Unclassified
AKT1	Cytosol	Unclassified
AKT1S1	Cytosol	Unclassified
AKT2	Cytosol	Unclassified
AKTIP	Cytosol	Unclassified
ALAD	Cytosol	Unclassified
ALB	Cytosol	Unclassified
ALDH16A1	Cytosol	Unclassified
ALDH3A1	Cytosol	Unclassified
